Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
130748,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,209,Bensonhurst - Bay Ridge,2005,01/01/2005,2.7,
130749,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,210,Coney Island - Sheepshead Bay,2005,01/01/2005,2.5,
130750,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,211,Williamsburg - Bushwick,2005,01/01/2005,3.1,
130751,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,301,Washington Heights,2005,01/01/2005,3.9,
130752,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,302,Central Harlem - Morningside Heights,2005,01/01/2005,4.2,
130753,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,303,East Harlem,2005,01/01/2005,4.2,
130754,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,304,Upper West Side,2005,01/01/2005,4,
130755,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,305,Upper East Side,2005,01/01/2005,4.5,
130756,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,306,Chelsea - Clinton,2005,01/01/2005,4.6,
130757,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,307,Gramercy Park - Murray Hill,2005,01/01/2005,5.3,
130758,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,308,Greenwich Village - SoHo,2005,01/01/2005,4,
130759,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,309,Union Square - Lower East Side,2005,01/01/2005,4,
130760,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,310,Lower Manhattan,2005,01/01/2005,4.2,
130761,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,401,Long Island City - Astoria,2005,01/01/2005,3.6,
130762,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,402,West Queens,2005,01/01/2005,3.4,
130763,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,403,Flushing - Clearview,2005,01/01/2005,2.7,
130764,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,404,Bayside - Little Neck,2005,01/01/2005,2.5,
130765,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,405,Ridgewood - Forest Hills,2005,01/01/2005,3,
130766,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,406,Fresh Meadows,2005,01/01/2005,2.3,
130767,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,407,Southwest Queens,2005,01/01/2005,2.4,
130768,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,408,Jamaica,2005,01/01/2005,2.4,
130769,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,409,Southeast Queens,2005,01/01/2005,2.4,
130770,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,410,Rockaways,2005,01/01/2005,2,
130771,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,501,Port Richmond,2005,01/01/2005,2.4,
130772,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,502,Stapleton - St. George,2005,01/01/2005,2.3,
130773,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,503,Willowbrook,2005,01/01/2005,2.3,
130774,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,504,South Beach - Tottenville,2005,01/01/2005,2.2,
130775,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Citywide,1,New York City,2005,01/01/2005,3.2,
130776,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Borough,1,Bronx,2005,01/01/2005,3.3,
130777,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Borough,2,Brooklyn,2005,01/01/2005,3,
130778,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Borough,3,Manhattan,2005,01/01/2005,4.3,
130779,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Borough,4,Queens,2005,01/01/2005,2.7,
130780,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Borough,5,Staten Island,2005,01/01/2005,2.3,
130781,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",Citywide,1,New York City,2005-2007,01/01/2005,64.7,
130782,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",Borough,1,Bronx,2005-2007,01/01/2005,76.5,
130783,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",Borough,2,Brooklyn,2005-2007,01/01/2005,67.8,
130784,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",Borough,3,Manhattan,2005-2007,01/01/2005,64,
130785,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",Borough,4,Queens,2005-2007,01/01/2005,54.8,
130786,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",Borough,5,Staten Island,2005-2007,01/01/2005,70.7,
130787,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,101,Kingsbridge - Riverdale,2005-2007,01/01/2005,88.3,
130788,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,102,Northeast Bronx,2005-2007,01/01/2005,152.6,
130789,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,103,Fordham - Bronx Pk,2005-2007,01/01/2005,167.2,
130790,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,104,Pelham - Throgs Neck,2005-2007,01/01/2005,162.5,
130791,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,105,Crotona - Tremont,2005-2007,01/01/2005,257.1,
